template,mode,unknownCount,unknownFeatures,targetFeatures,emitted
bio-threshold-erode-opening-64x64x64,triangular,3,Erode:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Erode:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-closing-fillSmallHoles-64x64x64,triangular,3,Closing:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-closing-binaryContour-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-closing-binaryMedian-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-closing-dilate-64x64x64,triangular,3,Closing:radius=3;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-closing-erode-64x64x64,triangular,3,Closing:radius=3;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-closing-opening-64x64x64,triangular,3,Closing:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-opening-fillSmallHoles-64x64x64,triangular,3,FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-opening-binaryContour-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-opening-erode-64x64x64,triangular,3,Erode:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Erode:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-opening-dilate-64x64x64,triangular,3,Dilate:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Dilate:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-erode-closing-64x64x64,triangular,3,Closing:radius=3;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-opening-closing-64x64x64,triangular,3,Closing:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-filter-median-64x64x64,triangular,3,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;SmoothWMedian:type=Float64:radius=3:windowSize=7,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;SmoothWMedian:type=Float64:radius=3:windowSize=7,False
bio-filter-bilateral-64x64x64,triangular,3,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;SmoothWBilateral:type=Float64:domainSigma=1.5:rangeSigma=30.0:windowSize=7,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;SmoothWBilateral:type=Float64:domainSigma=1.5:rangeSigma=30.0:windowSize=7,False
bio-filter-gradient-64x64x64,triangular,3,Cast:sourceType=Float64:targetType=UInt8;GradientMagnitude:type=Float64:windowSize=7;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0,Cast:sourceType=Float64:targetType=UInt8;GradientMagnitude:type=Float64:windowSize=7;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0,False
bio-filter-sobel-64x64x64,triangular,3,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;SobelEdge:type=Float64:windowSize=7,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;SobelEdge:type=Float64:windowSize=7,False
bio-filter-laplacian-64x64x64,triangular,3,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;Laplacian:type=Float64:windowSize=7,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;Laplacian:type=Float64:windowSize=7,False
bio-threshold-opening-binaryMedian-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-fillSmallHoles-binaryContour-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-erode-dilate-64x64x64,triangular,3,Dilate:radius=3;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Dilate:radius=3;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-erode-binaryContour-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-fillSmallHoles-dilate-64x64x64,triangular,3,Dilate:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,Dilate:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-filter-gauss-64x64x64,triangular,3,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;SmoothWGauss:sigma=3.0:outputRegionMode=None:boundaryCondition=None:windowSize=7,Cast:sourceType=Float64:targetType=UInt8;IntensityStretch:type=Float64:inputMinimum=0.0:inputMaximum=255.0:outputMinimum=0.0:outputMaximum=255.0;SmoothWGauss:sigma=3.0:outputRegionMode=None:boundaryCondition=None:windowSize=7,False
bio-threshold-fillSmallHoles-erode-64x64x64,triangular,3,Erode:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,Erode:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-fillSmallHoles-closing-64x64x64,triangular,3,Closing:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-fillSmallHoles-opening-64x64x64,triangular,3,FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryContour-fillSmallHoles-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryContour-binaryMedian-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;BinaryMedian:radius=3:windowSize=7;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;BinaryMedian:radius=3:windowSize=7;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryContour-dilate-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryContour-erode-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryContour-closing-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryContour-opening-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-erode-binaryMedian-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryMedian-fillSmallHoles-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryMedian-dilate-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryMedian-erode-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryMedian-closing-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;Closing:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryMedian-opening-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-dilate-fillSmallHoles-64x64x64,triangular,3,Dilate:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,Dilate:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-dilate-binaryContour-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-dilate-binaryMedian-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-dilate-erode-64x64x64,triangular,3,Dilate:radius=3;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Dilate:radius=3;Erode:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-dilate-closing-64x64x64,triangular,3,Closing:radius=3;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Closing:radius=3;Dilate:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-dilate-opening-64x64x64,triangular,3,Dilate:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,Dilate:radius=3;Opening:radius=3;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-erode-fillSmallHoles-64x64x64,triangular,3,Erode:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,Erode:radius=3;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-binaryMedian-binaryContour-64x64x64,triangular,3,BinaryContour:fullyConnected=false:windowSize=7;BinaryMedian:radius=3:windowSize=7;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryContour:fullyConnected=false:windowSize=7;BinaryMedian:radius=3:windowSize=7;Threshold:type=UInt8:lower=128.0:upper=infinity,False
bio-threshold-fillSmallHoles-binaryMedian-64x64x64,triangular,3,BinaryMedian:radius=3:windowSize=7;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,BinaryMedian:radius=3:windowSize=7;FillSmallHoles:maximumVolume=128:connectivity=TwentySix;Threshold:type=UInt8:lower=128.0:upper=infinity,False
